name,rev,price
Cafe Jacqueline,"4.6
53 Google reviews",$$$ · French Restaurant
Anchor Oyster Bar,"4.5
172 Google reviews",$$ · Seafood Restaurant
Absinthe Brasserie & Bar,"4.1
831 Google reviews",$$$ · French Restaurant
Jardinière,"4.1
413 Google reviews",$$$$ · French Restaurant
Thep-phanon,"4.0
111 Google reviews",$$ · Thai Restaurant
Zuni Café,"4.1
1,047 Google reviews",$$$ · French Restaurant
Angele Restaurant and Bar,"4.1
70 Google reviews",$$$ · French Restaurant
Auberge du Soleil,4.7,$$$$ · American Restaurant
Cook St. Helena,"4.5
35 Google reviews",$$$ · Italian Restaurant
Bistro Jeanty,"4.5
166 Google reviews",$$$ · French Restaurant
Willow Wood Market Cafe,"4.2
29 Google reviews",$$ · Mediterranean Restaurant
John Ash & Co. Restaurant,"3.8
43 Google reviews",$$$ · Fine Dining Restaurant
Cafe La Haye,"4.6
29 Google reviews",$$$ · Cafe
Della Santina's,"4.0
52 Google reviews",$$ · Italian Restaurant
Fringale Restaurant,"4.3
89 Google reviews",$$$ · French Restaurant
"Boulevard
California",None,"Elevation: 3,638′"
Barndiva,"4.3
61 Google reviews",$$$ · American Restaurant
None,None,None
People also ask,None,None
Wine Spectator Greystone Restaurant,"4.2
24 Google reviews",$$$ · Italian Restaurant
La Toque,"4.4
41 Google reviews",$$$$ · French Restaurant
Chez Panisse,"4.5
509 Google reviews",$$$$ · Californian Restaurant
Tacubaya,"4.1
111 Google reviews",$$ · Mexican Restaurant
À Côté,"4.3
80 Google reviews",$$ · Mediterranean Restaurant
Picco Restaurant,"4.4
45 Google reviews",$$$ · Californian Restaurant
Insalata's,"3.9
33 Google reviews",$$ · Mediterranean Restaurant
Poggio Trattoria,"4.1
109 Google reviews",$$ · Italian Restaurant
Sushi Ran,"4.5
151 Google reviews",$$$$ · Japanese Restaurant
Frantoio Ristorante,"3.8
20 Google reviews",$$$ · Organic Restaurant
Marche aux Fleurs,"4.3
12 Google reviews",$$$ · French Restaurant
Farallon Restaurant,"4.2
214 Google reviews",$$$$ · Seafood Restaurant
A16,"4.2
515 Google reviews",$$$ · Italian Restaurant
Dragon Well,"3.9
50 Google reviews",$$ · Chinese Restaurant
Florio Bar & Cafe,"3.9
51 Google reviews",$$ · Italian Restaurant
Mamacita,"4.2
162 Google reviews",$$ · Mexican Restaurant
Quince,"4.6
160 Google reviews",$$$$ · Fine Dining Restaurant
Enoteca Sociale,"4.3
60 Google reviews",$$$ · Italian Restaurant · Trinity - Bellwoods
Pancho Villa Taqueria,"4.2
445 Google reviews",$ · Mexican Restaurant
Bar Tartine,"4.2
534 Google reviews",$$$ · European Restaurant
La Folie,"4.3
135 Google reviews",$$$$ · Bar
Oriental Pearl Restaurant,"4.1
86 Google reviews",$$$ · Chinese Restaurant
Albona Restaurant,"4.3
38 Google reviews",$$$ · Italian Restaurant
Gary Danko,"4.5
890 Google reviews",$$$$ · French Restaurant
