name,stars,review,cooking_type,address,usd_avg,State,rating,price,cuisine
Caf̩ Jacqueline,0,"You'll float away on a cloud at the first taste of Jacqueline Margulis' signature souffl̩s, light and fluffy masterworks that have kept her tables full for over 35 years. Since the chef makes each of her creations by hand, expect to spend three or so hours at the table-it's the perfect romantic escape for couples lingering over a bottle of wine. To sate your appetite while you wait, a bowl of light carrot soup or a delicate cucumber salad in a champagne vinaigrette will do the trick. But the souffl̩s are the real draw, and keen diners plan on both a savory and a sweet course. For the former, a combination of flaky salmon, tender asparagus, and caramelized Gruy̬re is a delight. And the utterly perfect lemon souffl̩ will haunt any dessert lover's dreams.",French,"1454 Grant Ave., San Francisco 94133",62,CA,,,
Anchor Oyster Bar,0,"Landlubbers seeking a taste of the sea can be found pulling up a stool at this Castro institution, where waves of waiting diners spill out the doors. This tiny, minimally adorned space filled with old-fashioned charm is better for twosomes than groups. While the menu may be petite, it's full of fresh fare like a light and flavorful Dungeness crab ""burger"" on a sesame bun; Caesar salad combining sweet prawns and tangy anchovy dressing; or a cup of creamy Boston clam chowder loaded with fresh clams and potatoes. As the name portends, raw oysters are a specialty, so fresh and briny that the accompanying mignonette may not be necessary. And while the cioppino is only an occasional special, it's worth ordering if available, as it's a signature.",Seafood,"579 Castro St., San Francisco 94114",37,CA,4.5,$$,Seafood
Absinthe,0,"The original colonist of Hayes Valley's now-bustling restaurant row, this ""green fairy"" still has plenty of sparkle, thanks to its timeless brasserie atmosphere and classic French- and Mediterranean-inspired menu. Even a lowly chicken breast gets the magic treatment here, with crunchy skin, perfectly wilted lacinato kale, and swirls of luscious Bourbon-yam pur̩e. The same goes for a little gem lettuce salad with fine herbs dressed in a red wine-shallot vinaigrette. Perched between formal and casual, the restaurant draws relaxed alfresco lunchers with dogs by day and stylish symphony or opera patrons by night. In either incarnation, it's a lovely place for a cocktail-a few may earn you a wink from those fairies, flitting across the dining room mural.",Mediterranean,"398 Hayes St., San Francisco 94102",62,CA,,,
Jardini̬re,0,"For a memorable night on the town, don your best dress, find a hand to hold, and head to this longtime favorite-tinged with a sense of bygone romance. Stop off at the circular bar and join the well-heeled couples sipping cocktails pre- or post-opera. Prime seats on the upstairs balcony overlook the bustling lower level, and stunning arched windows show off views of the street. Approachable, seasonal dishes abound on Jardini̬re's menu, from tender tajarin pasta with morel mushrooms and butter to a Mediterranean-inspired duo of lamb belly and shoulder with fresh fava beans and smoked yogurt sauce. Indecisive sweet tooths will thrill to the bonne bouche, an array of candies, cookies, small cakes, and profiteroles that makes a striking conclusion.",Californian,"300 Grove St., San Francisco 94101",62,CA,,,
Thep Phanom,0,"A good Thai spot is as essential to a SF neighborhood as air to breath, and Lower Haighters have long pledged their allegiance to Thep Phanom's interpretation of the sweet and spicy cuisine. Whether they crave sinfully crisp, golden-brown chicken wings with sweet-chili dipping sauce or a range of healthy vegetarian options, they've yet to be disappointed. Tucked just off bustling Haight and Fillmore, the location is no friend to drivers (prepare to circle), but once inside, it's dimly lit and low-key, ideal for a quiet date night or even solo dining. Spice levels are adjustable-and hot means hot-for all the dishes ranging from creamy red pumpkin curry, to ""Thaitanic"" tofu, eggplant, and string beans in a lemongrass-ginger- and Thai basil-sauce.",Thai,"400 Waller St., San Francisco 94101",37,CA,,,
Zuni Caf̩,0,"Over thirty years young and still thriving as if it were newborn, locals and visitors remain drawn to this SF institution, famous for its laid-back California vibe and great, locally sourced eats. This iconic space embraces its unique shape, and is styled with bold artwork-covered walls, a copper bar counter, and wood-burning oven sending out delightful pizzas and filling the room with mouthwatering aromas. Given its ace location, Zuni makes for a divine lunch destination-and proof is in the many business folk, trendy ladies-who-lunch, and tourists that fill its tables midday. Menu treasures include sliced persimmon scattered with shaved Jerusalem artichoke and baby arugula leaves, tailed by toothsome artisanal rigatoni clutching fragrant lamb sugo.",Mediterranean,"1658 Market St., San Francisco 94101",37,CA,,,
Ang̬le,0,"Nestled into a sun-splashed river bend adjacent to the Napa River Inn, Ang̬le is housed in a repurposed boathouse replete with wood panels and beams, French blue-framed windows, and linen-dressed tables topped with miniature olive trees. Not only is the setting of this downtown Napa bistro completely charming, but the impressive pedigree of its father-daughter team includes experience at key wine country destinations. The menu is classic with a contemporary twist. Case in point: a seemingly simple apple salad that, at first bite, reveals a surprisingly complex composition of poached apples, roasted chestnuts, crumbled feta, and vanilla bean vinaigrette. Heartier items include a spot-on croque monsieur or roasted quail stuffed with bits of green chorizo.",French,"540 Main St., Napa 94558",37,CA,,,
Auberge du Soleil,1,"The approach to this wine country destination, tucked into a tiny hill among steep winding roads and famed wineries, is a treat in itself. Every corner of the building oozes warmth-even the terrace (kept toasty with space heaters) and its spectacular views overlooking that patchwork of vines and pine forests. The classy and very cozy dining room boasts a wood-burning fire and a natural color scheme that flows from the rattan chairs and pumpkin-colored embroidered linens to the terra-cotta walls. Servers are equally warm, professional, and courteous. The sophisticated clientele (many of them guests of the hotel) seem to be relishing this as an escape from their busy and prosperous daily lives. Still, the cooking trumps the setting with near-flawless preparations of seasonal, California-inspired cuisine. Begin with delicate gnocchi that promise to just melt in the mouth, swimming in a pungent, meaty parmesan and mushroom nage along with chopped pea shoots and saut̩ed wild mushrooms. Superlative entr̩es may feature succulent bay scallops, their sweetness offset by lemony roasted cauliflower, all surrounded by a pearly ribbon of prosciutto. Pumpkin mousse is the essence of fall on a plate.",Californian,"180 Rutherford Hill Rd., Rutherford 94573",112.5,CA,4.7,$$$$,American
Cook St. Helena,0,"An artistically lit antelope head hangs in this Italian haven on St. Helena's main drag. Random? Not really, when one considers how rare solid cooking and sane prices can be in this tony burg. The cozy space has two seating options: a gleaming marble counter as well as tables that stretch from front to back (the ones up front are lighter, airier, and more preferable). The food is thoughtful and refined with a daily rotating risotto, house-stretched mozzarella and burrata, and glorious pastas like ricotta fazoletti with a deeply flavored Bolognese. Grilled octopus salad with potatoes, olives, and tomato dressing is boosted by prime ingredients and careful seasoning. The wine list tempts at dinner, but bloody Mary's are all the rage at brunch, and are also served at Cook Tavern next door.",Italian,"1310 Main St., St. Helena 94574",37,CA,4.5,$$$,Italian
Bistro Jeanty,0,"Napa transforms into the French countryside via a meal at Jeanty, which serves rib-sticking favorites like coq au vin, boeuf Bourguignon, and a sinfully rich milk-fed veal chop with chanterelle mushrooms and Camembert sauce. But California's lighter side is here, too: a salad of silken smoked trout and fris̩e is garden-fresh, and daily specials highlight the best in local produce. The classic bistro accoutrements (yellow walls, wooden tables, framed retro posters) are present and accounted for, but there's an element of quirky fun here as well-from the flower-bedecked bicycle out front to the porcelain hens and hogs that dot the dining room. Like the flaky, caramelized, and unmissable tarte Tatin, this is a gorgeous update on a classic.",French,"6510 Washington St., Yountville 94599",37,CA,4.5,$$$,French
