name,rev,price
Anteprima,"4.1
45 Google reviews",$$ · Italian Restaurant
Alinea,"4.5
435 Google reviews",$$$$ · Fine Dining Restaurant
Atwood,"4.1
94 Google reviews",$$$ · New American Restaurant
Bistro Campagne,"4.6
53 Google reviews",$$ · French Restaurant
Boka,"4.6
96 Google reviews",$$$ · American Restaurant
Bourgeois Pig Cafe,"4.2
137 Google reviews",$ · Sandwich Shop
Cafe Spiaggia,"4.1
9 Google reviews",$$$ · Italian Restaurant
Café des Architectes,"4.3
47 Google reviews",$$$ · French Restaurant
Coalfire Pizza,None,None
Chicago Diner,None,None
David Burke's Primehouse,"3.9
154 Google reviews",$$$ · Steak House
Demera,"4.3
131 Google reviews",$$ · Ethiopian Restaurant
Eleven City Diner,"4.2
331 Google reviews",$$ · Diner
Greek Islands,"4.3
311 Google reviews",$$ · Greek Restaurant
Green Zebra,"4.1
124 Google reviews",$$$ · Vegetarian Restaurant
Hopleaf,"4.5
433 Google reviews",Gastropub
Mindy's Hot Chocolate,"4.2
292 Google reviews",$$ · Dessert Restaurant
Lao Sze Chuan,None,None
La Petite Folie,"4.2
20 Google reviews",$$$ · French Restaurant
Lula Cafe,"4.5
375 Google reviews",$$ · New American Restaurant
Arun's,"4.7
26 Google reviews",$$$$ · Thai Restaurant
Belly Shack,"4.2
128 Google reviews",$$ · Asian Fusion Restaurant
Blackbird,"4.2
218 Google reviews",$$$ · American Restaurant
Indian Garden,"3.8
195 Google reviews",Indian Restaurant
Le Bouchon,"4.1
46 Google reviews",$$ · French Restaurant
Lou Mitchell's,"4.2
459 Google reviews",$$ · Diner
Mexique,"4.6
88 Google reviews",$$$ · Mexican Restaurant
NAHA,"4.4
91 Google reviews",$$$ · New American Restaurant
Pelago,"4.2
45 Google reviews",$$$ · Italian Restaurant
Phoenix,"4.1
126 Google reviews",$$ · Chinese Restaurant
RL,"4.3
68 Google reviews",$$$ · American Restaurant
Sepia,"4.3
116 Google reviews",$$$ · American Restaurant
Southport Grocery,"4.4
109 Google reviews",$$ · Cafe
The Bristol,"4.2
106 Google reviews",$$ · American Restaurant
The Publican,"4.4
497 Google reviews",$$$ · American Restaurant
Gene &amp; Georgetti,"4.0
144 Google reviews",$$$ · Steak House
Piccolo Sogno,"4.3
120 Google reviews",$$$ · Italian Restaurant
Vermilion,"3.5
69 Google reviews",$$$ · Indian Restaurant
Coco Pazzo,"4.3
72 Google reviews",$$$ · Italian Restaurant
Prosecco,"4.4
42 Google reviews",$$$ · Italian Restaurant
The Purple Pig,"4.4
661 Google reviews",$$ · Mediterranean Restaurant
Rosebud Prime,"4.2
44 Google reviews",$$$ · American Restaurant
Bistrot Zinc,"4.2
56 Google reviews",$$ · French Restaurant
Mirai,None,None
Smoke Daddy,"4.3
280 Google reviews",$$ · Barbecue Restaurant
Jaipur,"3.8
72 Google reviews",$$ · Asian Restaurant
Chilam Balam,"4.3
70 Google reviews",$$ · Mexican Restaurant
DMK Burger Bar,None,None
Frasca,"4.1
111 Google reviews",$$ · Italian Restaurant
Smoque BBQ,"4.6
502 Google reviews",$$ · Barbecue Restaurant
Viceroy of India,"3.6
62 Google reviews",$$ · Restaurant
Tuscany on Taylor,"4.5
87 Google reviews",$$ · Italian Restaurant
Hugo's Frog Bar &amp; Fish House,"4.3
118 Google reviews",$$$ · Seafood Restaurant
Fiesta Mexicana,"3.7
46 Google reviews",$$ · Mexican Restaurant
Pho 777,"3.8
57 Google reviews",$$ · Vietnamese Restaurant
Flo,"4.3
93 Google reviews",$$ · Mexican Restaurant
Taxim,"4.3
34 Google reviews",$$ · Greek Restaurant
deca,"4.1
20 Google reviews",$$$ · New American Restaurant
Longman &amp; Eagle,"4.5
391 Google reviews",$$ · American Restaurant
Sticky Rice,"4.0
91 Google reviews",$$ · Thai Restaurant
Twin Anchors,"4.5
152 Google reviews",$$ · Barbecue Restaurant
La Casa De Samuel,"3.7
71 Google reviews",$$ · Restaurant
Terzo Piano,"3.8
43 Google reviews",$$$ · Italian Restaurant
The Gage,"4.3
456 Google reviews",$$ · American Restaurant
Benny's Chop House,"4.4
119 Google reviews",$$$ · Steak House
Joe's,None,None
Sable Kitchen &amp; Bar,"4.2
146 Google reviews",$$$ · Gastropub
Sunda,"4.3
328 Google reviews",$$ · Sushi Restaurant
¡Hello Tacos! De Cero,"3.9
124 Google reviews",$$ · Mexican Restaurant
Girl &amp; The Goat,"4.6
693 Google reviews",$$ · New American Restaurant
Connie's Pizza,None,None
Merlo on Maple,"4.3
38 Google reviews",$$$ · Northern Italian Restaurant
Riccardo Trattoria,"4.2
32 Google reviews",$$$ · Italian Restaurant
Mixteco Grill,"4.2
57 Google reviews",$$ · Mexican Restaurant
P.S. Bangkok,"3.7
32 Google reviews",$ · Thai Restaurant
Shokran Moroccan Grill,"4.4
58 Google reviews",$$ · Moroccan Restaurant
Nana,"4.3
138 Google reviews",$$ · New American Restaurant
Gilt Bar,"4.5
199 Google reviews",$$ · Bar
Big Jones,"4.3
114 Google reviews",$$ · Southern Restaurant (US)
Ceres' Table,"4.3
38 Google reviews",$$$ · Italian Restaurant
Han 202,"4.3
20 Google reviews",$$ · Chinese Restaurant
Big Star,"4.3
693 Google reviews",$$ · Mexican Restaurant
Coast Sushi Bar,"4.3
144 Google reviews",$$ · Asian Restaurant
Cumin,"4.1
136 Google reviews",$$ · Indian Restaurant
Lillie's Q,None,None
Ruxbin,"4.7
65 Google reviews",$$$ · New American Restaurant
tocco,"4.2
40 Google reviews",Italian Restaurant
Kuma's Corner,"4.4
714 Google reviews",$$ · Bar & Grill
Noon-O-Kabab,"4.3
168 Google reviews",$$ · Persian Restaurant
Taste of Peru,"4.2
90 Google reviews",$$ · Peruvian Restaurant
Chez Joël,"4.4
40 Google reviews",$$$ · French Restaurant
DeCOLORES,"4.3
17 Google reviews",Restaurant
Frances' Deli,"4.1
41 Google reviews",$$ · Deli
Frontera Grill,"4.3
521 Google reviews",$$ · Mexican Restaurant
Saigon Sisters,None,None
Avec,"4.5
302 Google reviews",$$$ · Mediterranean Restaurant
Chicago Curry House,"3.9
151 Google reviews",Indian Restaurant
Stax Café,"4.2
68 Google reviews",$ · Cafe
Three Aces,"4.4
99 Google reviews",$$ · Bar
Chicago q,"4.5
196 Google reviews",$$ · Barbecue Restaurant
Old Jerusalem,"4.1
58 Google reviews",Middle Eastern Restaurant
Pizano's,None,None
Las Palmas,"4.1
76 Google reviews",$$ · Mexican Restaurant
Owen &amp; Engine,"4.5
152 Google reviews",$$ · British Restaurant
Isla,"4.3
85 Google reviews",$ · Southeast Asian Restaurant
Jin Ju,"4.3
25 Google reviews",Korean Restaurant
Sol de Mexico,"4.2
48 Google reviews",Restaurant
Arami,"4.5
65 Google reviews",$$$ · Japanese Restaurant
Bistronomic,"4.0
43 Google reviews",$$$ · Bistro
Chicago Kalbi,"4.2
30 Google reviews",$$ · Korean Barbecue Restaurant
Fish Bar,"4.1
96 Google reviews",$$ · Seafood Restaurant
Kanela,None,None
Del Seoul,"4.5
206 Google reviews",$ · Korean Restaurant
Chicago Cut,"4.0
179 Google reviews",$$$ · Steak House
Hubbard Inn,"4.0
95 Google reviews",$$ · Brunch Restaurant
Mastro's,"4.6
140 Google reviews",$$$ · Restaurant
Due Lire,"4.4
20 Google reviews",Italian Restaurant
Bangers &amp; Lace,None,None
