name,stars,review,cooking_type,address,usd_avg,State,rev,price
Anteprima,0.0,"Nestled into a vibrant strip of shops and eateries, this family-friendly gem is set apart by smart plate-glass windows and olive green-tinted woodwork. Inside, rusticity rules the roost with pressed-tin ceilings and intricate wood paneling. It's the kind of place where even solo patrons feel welcome, especially when perched on a window seat overlooking the bustling street. Following its moniker, diners should ""preview"" the wide-ranging menu before opting for such delights as grilled sardines with sweet fennel, fragrant herbs, and fine olive oil. Delicious pastas include homemade ravioli-filled with a blend of crushed peas and mint-finished with a light, parmesan-flecked sauce. For dessert, a rich, well-made panna cotta wobbles with lemon syrup and zest.",Italian,"5316 N. Clark St., Chicago 60640",37.0,IL,"4.1
45 Google reviews",$$ · Italian Restaurant
Alinea,3.0,"Who needs a meal followed by a show when you can have both together? That's because eating at Alinea, which involves around 20 courses over about three hours, is more than simply dinner-it's culinary theater. Perhaps it could qualify for a Tony Award along with its Michelin stars, because you're even invited backstage afterwards to meet the talented protagonists in the kitchen. Alinea provides such a vivid, visceral experience, that you'll even forget about the somewhat painful and entirely inhospitable booking procedure. Neophytes have nothing to fear here as there's a veritable army of charming, clued-up helpers and servers to guide you effortlessly through each and every dish. And guidance is certainly needed because the only menu you'll see is the one presented to you like an award certificate as you leave. The cooking is strikingly original and very clever. It can surprise but it can also challenge; at times dishes can be playful or even whimsical. But underpinning all those clever techniques and all those dazzling arrangements and quite striking presentations is an inherent understanding of flavor-and this is what gives the cooking such great depth.",Contemporary,"1723 N. Halsted St., Chicago 60614",112.5,IL,"4.5
435 Google reviews",$$$$ · Fine Dining Restaurant
Atwood,0.0,"This corner restaurant's 19th century façade may be historic, but its soaring dining room is a strikingly modern vision of white marble-topped tables, glossy beveled subway tiles, and low-slung black leather chairs and banquettes. The crimson bar stools fill with patrons meeting for business and pleasure all week, while brunch gets the place buzzing on weekends. Atwood's brasserie menu isn't exactly full of surprises, but its familiar foods are given first-class upgrades-think pancetta-studded mac and cheese; lamb chops with basil and preserved lemon; and an omelet with crunchy bacon, creamy Brie, and verdant asparagus. For a real wake-up call, the Inferno Virgin Mary has more than enough of a kick (plus more of that bacon as a garnish).",Contemporary,"1 W. Washington St., Chicago 60602",37.0,IL,"4.1
94 Google reviews",$$$ · New American Restaurant
Bistro Campagne,0.0,"The romantic ideal of a French bistro is alive and well at Bistro Campagne. Light slants gently through wooden Venetian blinds, bouncing off cream-and-brick walls in the welcoming dining room. Choose a white cloth-covered table inside, under the red-golden soffit ceiling or outside under twinkling lights and green tree branches in the garden. Inspired accompaniments make for memorable versions of rustic French standards. Meltingly tender foie de veau sparks happy sighs from calves' liver lovers, complemented by crisp bacon and Dijon mustard cream. House-made pappardelle and maitake mushrooms soak up the lavender-infused jus that finishes white wine-braised rabbit. Black figs are tucked into a moist brown butter pain perdu drizzled with caramel.",French,"4518 N. Lincoln Ave., Chicago 60625",37.0,IL,"4.6
53 Google reviews",$$ · French Restaurant
Boka,1.0,"Housed in an affluent part of town, find a small walkway that leads into this elaborate, handsome, and very sultry dining room. There are three different seating areas and each exudes class with a bit of romance, whimsy, and occasional quirk (note the escutcheon-covered doorway and capricious paintings). Against dark pebbled walls, find oversized horseshoe booths, long banquettes, and mirrored light bulbs casting funky shadows. The semi-outdoor solarium has a living wall of moss and ferns. Servers are friendly and genuine without a hint of pretense. This is the kind of place where one can sink in and not care to leave. Chef Lee Wolen's menu may be modern, but it is widely appealing with a Mediterranean edge. Begin with translucent slivers of fresh sea bass that get a pleasant chew from almond crumble and perfect flavor from a subtle dab of citrusy yuzu kosho. Then, deliciously tender and evenly pink Colorado lamb is served with a harmonious hodgepodge of creamy yogurt, charred lettuce, and nearly sweet baby potatoes. For dessert, an airy and whipped mound of praline-flavored mousse is set beside milk ice cream, which serves as a cooling counterpoint to the nutty flavors throughout and makes for a fine ending.",Contemporary,"1729 N. Halsted St., Chicago 60614",62.0,IL,"4.6
96 Google reviews",$$$ · American Restaurant
Bourgeois Pig Cafe,0.0,"Scholarly types from nearby DePaul University adore this bookish café on a quiet block of Fullerton. Choose from a litany of salads, sandwiches, and drinks from oversized chalkboard menus behind the counter; then stake out one of the premium second-floor tables. Upstairs, chandeliers, cozy couches, and scattered antiques (not to mention frequent study groups guzzling caffeine and homemade cookies) lend character. Many sandwiches take names from literary works, like The Old Man and the Sea (tuna salad) or Catcher in the Rye (reuben). The muffuletta is a lightly pressed panini rendition of the New Orleans standard, stacking a deli's worth of ham, salami, mortadella, provolone, and mild giardiniera in fresh focaccia for a hearty yet delicate bite.",Deli,"738 W. Fullerton Pkwy., Chicago 60614",18.5,IL,"4.2
137 Google reviews",$ · Sandwich Shop
Cafe Spiaggia,0.0,"After an extensive renovation, Cafe Spiaggia is sporting a sophisticated, contemporary new look, with beautiful white tufted leather banquettes, dark wood tables, and black-and-white photos gracing the wall. Towards the back, leather stools line a long white marble bar, and majestic floor-to-ceiling windows offer views of Magnificent Mile. The menu is solid and approachable Italian-a decidedly less formal alternative to sophisticated older sister, Spiaggia, next door. Kick things off with the piadini, a thin Romagna-style flatbread, grilled and folded around delicious fillings like mortadella, maybe a caprese, or even chicken and honey. Then, slide on over to the kitchen's focus-gemelli humming with summer beans, preserved lemon, Pecorino Romano, and Prosciutto di Parma.",Italian,"980 N. Michigan Ave., Chicago 60611",37.0,IL,"4.1
9 Google reviews",$$$ · Italian Restaurant
Café des Architectes,0.0,"European sophistication lends extra polish to this shimmering contemporary spot in the Sofitel Hotel, where ""Bonjour"" is passed around freely by the mostly French staff. The dining room is just as chic, with crimson banquettes, black-and-white portraits of the city's architectural marvels, and floor-to-ceiling windows with striking steel accents. The seasonally shifting lineup of small plates is simple but creative, like a single Wianno oyster dabbed with fennel cream and crowned with spoonfuls of both sturgeon and faux citrus caviar. Market-inspired entrées include butternut squash ribbons curling over tender beef short rib and vanilla-tinged salsify purée. For a more casual, small bites affair, move to Le Bar, the hotel's chic watering hole.",Contemporary,"20 E. Chestnut St., Chicago 60611",62.0,IL,"4.3
47 Google reviews",$$$ · French Restaurant
Coalfire Pizza,0.0,"Sure, you could come for a salad, but the focus here is on pizza-and yours should be, too. The cozy room features an open kitchen where pie production is on display for all to see. And in a playful bit of recycling, empty tomato sauce cans on each table become stands for sizzling pizzas churned straight from the 800-degree F coal oven. This hot spot has its ratio down to a fine art and knows not to burden its thin, crispy crust that's blackened and blistered in all the right places. The mortadella is a delight, with chopped garlic and gossamer slices of peppercorn-flecked sausage. Care to go your own way? Build the perfect pie with toppings that run the gamut from Gorgonzola to goat cheese. A second location in Lakeview continues to thrive.",Pizza,"1321 W. Grand Ave., Chicago 60622",18.5,IL,None,None
Chicago Diner,0.0,"""Meat free since '83"" is the slogan at Chicago Diner, where servers have been slinging creative, healthy fare to grateful vegetarians and vegans for decades. The ambience evokes a neighborhood diner with fire engine-red tables trimmed in chrome, shiny black vinyl chairs, and raised booths. And the food? It looks and tastes the part. Convincingly crispy seitan buffalo wings cool down the spice factor with vegan ranch dressing; while flautas filled with mashed potato, faux cheese, and jalapeños are served with tons of flavorful fixings so that the meat is not missed at all. With a popular brunch menu, numerous gluten-free choices, and a stronghold on the local vegan scene, you can expect a line. So, get there early or hope for good Karma-and a seat.",Vegetarian,"3411 N. Halsted St., Chicago 60657",18.5,IL,None,None
