chef,chef_years,years_opened
Opie  Crooks,1,NA
Samuel  Kim,3,56
Benjamin  Lambert,4,27
Eric  Heidenberger,1,1
Brant  Tesky,9,12
Ari  Gejdenson,7,7
Michael  Soper,6,6
Sébastien  Rondier,2,3
Bryan  Voltaggio,3,3
Ghassan  Jarrouj,7,7
Russel  Cunningham,9,11
Roberto  Donna,5,5
Amy  Brandwein,4,4
Danilo  Bucan,4,4
Nate  Garyantes,6,6
Wesley  Morton,6,9
Elizabeth  Masetti,4,4
Bart  Vandaele,4,4
David  Burke,1,NA
Jimmy  Haber,11,11
Paul  Gomes,5,4
Tom  Cunanan,2,2
Liam  LaCivita,3,2
Jesse  Miller,4,12
Garret  Fleming,4,3
Bart  Vandaele,13,13
Jake  Addeo,3,8
Vikram  Sunderam,1,1
Jeffrey  Buben,19,19
Richard  Cook,8,13
Daniel  Singhofen,3,11
Joseph  Smith,17,17
Nilesh  Singhvi,10,28
Marc  Vidal,5,5
Joseph  Palma,3,9
Brendan  Tharp,6,6
Robert  Wiedmaier,10,10
Lisa Marie  Frantz,6,8
April  KindtBennie Dover Jackson M.S.,1,1
Alexandra  Mudry,2,3
Brad  Race,4,4
Christopher  Pinchin,5,5
Christian  Irabien,7,NA
David  Fritsche,7,8
Owen  Thomson,4,14
Marco  Bustamante,3,NA
Bryan  Yealy,18,35
Tony  Natas,7,7
Michael  Fusano,2,4
John  Manolatos,10,22
Michael  Schlow,1,1
Aaron  McCloud,5,8
Matthew  Britt,6,14
Tony  Roussel,3,10
Amy  Brandwein,3,2
Derrick  Davenport,6,NA
Jeffery  Russell,5,14
Carl  Stanton,13,13
Geoff  Tracy,17,17
Geoff  Tracy,15,15
José  Andrés,3,2
Greg  Engert,8,8
Ethan  McKee,8,15
Jose  Barrientos,6,NA
Andy  Farrell,4,4
Brian  Stickel,5,NA
Adam  Newton,5,54
Santosh  Tiptur,10,NA
Tom  Power,17,17
Robert  Weland,6,9
Orlando  Hitzig,8,12
Ed  Scarpone,3,3
Brendan  Cox,9,19
Barry  Koslow,5,5
Peggy  Thompson,10,14
Katsuya  Fukushima,6,4
David  GuasDamGoodSweet Consulting Group,10,10
Kerem  Kendigelen,4,4
Victor  Albisu,5,4
Scott  Kroener,3,3
Rob  Klink,5,5
Dean  Gold,12,12
Deth  Khaia,3,4
