address,name,rating,rpc
633 D St NW,Rasika,4.2,(301) · $$ · Indian
701 9th St NW,Zaytinya,4.3,(508) · $$ · Mediterranean
717 8th St SE,Rose's Luxury,4.6,(111) · $$ · American
575 Pennsylvania Ave NW,The Source,4.0,(85) · $$$ · American
601 Pennsylvania Ave NW,Fiola,4.3,(55) · $$$ · Italian
301 Water St SE #109,Osteria Morini,4.1,(62) · $$ · Italian
1201 24th St NW,Blue Duck Tavern,4.4,(169) · $$$ · American
1001 Pennsylvania Ave NW,Central Michel Richard,4.1,(142) · $$$ · French
1734 N St NW,Iron Gate Restaurant,4.3,(51) · $$ · Mediterranean
1475 Pennsylvania Ave NW,Occidental Grill & Seafood,3.9,(63) · $$$ · American
750 15th St NW,"Joe's Seafood, Prime Steak & Stone Crab",4.6,(130) · $$$ · Seafood
3100 K St NW,Fiola Mare,4.5,(92) · $$$ · Seafood
707 6th St NW,Graffiato,3.7,(125) · $$ · Italian
1190 New Hampshire Ave NW,Rasika West End,4.4,(128) · $$$ · Indian
1924 Pennsylvania Ave NW,Founding Farmers DC,4.3,"(1,051) · $$ · American"
1200 New Hampshire Ave NW,grillfish,4.1,(64) · $$ · Seafood
1601 14th St NW,Le Diplomate,4.5,(240) · $$ · French
1101 4th St SW,Station 4,3.8,(85) · $$ · American
2401 Pennsylvania Ave NW,Marcel's by Robert Wiedmaier,4.3,(71) · $$$$ · Belgian
1509 17th St NW,Komi,4.5,(120) · $$$$ · Greek
675 15th St NW,Old Ebbitt Grill,4.3,(959) · $$ · American
1520 14th St NW,Estadio,4.2,(100) · $$ · Spanish
1099 New York Ave NW,Casa Luca,4.1,(49) · $$ · Italian
915 15th St NW,Siroc Restaurant,4.3,(48) · $$$ · Italian
1112 F St NW,Tosca,4.2,(60) · $$$ · Italian
505 8th St SE,Ted's Bulletin,4.4,(246) · $$ · American
480 7th St NW,Jaleo,3.9,(381) · $$ · Spanish
425 7th St NW,Carmine's Restaurant,3.8,(189) · $$ · Italian
4883 MacArthur Blvd NW,BlackSalt Fish Market & Restaurant,4.3,(88) · $$$ · Seafood
600 14th St NW,The Hamilton,4.4,(367) · $$ · American
1101 K St NW,Brasserie Beck,4.1,(192) · $$$ · Belgian
1226 36th St NW,1789 Restaurant,4.4,(76) · $$$ · American
223 Pennsylvania Ave SE,Sonoma Restaurant and Wine Bar,3.8,(54) · $$ · American
1155 14th St NW,Zentan,3.6,(71) · $$ · Japanese
822 E St NW,Cedar Restaurant,4.1,(61) · $$$ · American
713 H St NW,matchbox,4.2,(476) · $$ · American
401 7th St NW,Oyamel Cocina Mexicana,3.9,(415) · $$ · Mexican
1100 New York Ave NW,Bibiana,3.5,(41) · $$$ · Italian
901 New York Ave NW,Acadiana Restaurant,4.2,(170) · $$$ · American
3000 K St NW,Sequoia DC,3.4,(173) · $$$ · American
775 G St NW,Proof,4.1,(89) · $$$ · American
1652 K St NW,McCormick & Schmick's Seafood & Steaks,3.4,(110) · $$$ · American
2121 P St NW,Urbana,3.6,(50) · $$ · Italian
818 Connecticut Ave NW,Equinox,4.0,(57) · $$$ · Vegan
950 15th St NW,Georgia Brown's,3.9,(225) · $$ · American
1201 Pennsylvania Ave NW,Elephant & Castle,3.8,(167) · $$ · American
444 7th St NW,SEI,4.4,(78) · $$$ · Sushi
781 Seventh Street NW,Zengo,3.8,(149) · $$ · Dim Sum
3226 11th St NW,Bad Saint,4.5,(48) · $$ · Filipino
1401 Pennsylvania Ave NW,Café du Parc,3.2,(57) · $$$ · French
101 Constitution Ave NW,Charlie Palmer Steak,4.2,(77) · $$$ · American
2700 F St NW,Roof Terrace Restaurant,3.3,(26) · $$$ · American
1110 Vermont Ave NW,Lincoln,3.8,(119) · $$ · American
1201 Pennsylvania Ave NW,Del Frisco's Grille,3.5,(50) · $$$ · Steak
701 Pennsylvania Ave NW,701 Restaurant,3.6,(38) · $$$ · American
418 7th St NW,China Chilcano,4.1,(121) · $$ · Peruvian
3417 Connecticut Ave NW,Ripple,4.1,(49) · $$$ · American
2800 Pennsylvania Ave NW,BOURBON STEAK,4.2,(68) · $$$ · Steak
1310 New Hampshire Ave NW,Firefly,3.8,(196) · $$ · American
2132 Florida Ave NW,Restaurant Nora,4.0,(309) · $$$ · Organic
801 Pennsylvania Ave NW,b DC Penn Quarter,4.3,(150) · $ · Hamburger
2100 P St NW,Scion Restaurant,3.7,(68) · $$ · American
900 F St NW,Gordon Biersch,3.4,(165) · $$ · American
1122 9th St NW,Corduroy,4.0,(46) · $$$ · American
1300 I St NW,Toro Toro,3.8,(88) · $$$ · Steak
1225 19th St NW,Palm Restaurant,3.9,(68) · $$$ · Steak
415 New Jersey Ave NW,Art and Soul,3.5,(83) · $$$ · American
15 E St NW,Bistro Bis,4.3,(61) · $$$ · French
1990 M St NW,Vidalia,3.9,(79) · $$$ · American
1200 16th St NW,Plume,4.4,(29) · $$$$ · American
107 D St NE,The Monocle Restaurant,4.2,(23) · $$ · American
1054 31st St NW,Sea Catch Restaurant,3.7,(55) · $$ · Seafood
1813 Columbia Rd NW,Mintwood Place,4.3,(60) · $$ · American
1612 14th St NW,Pearl Dive Oyster Palace,4.3,(86) · $$ · Seafood
2275 L St NW,Ris,3.8,(38) · $$$ · American
1739 N St NW,Tabard Inn,4.3,· Hotel
1330 Maryland Ave SW,Muze,4.0,(5) · $$$ · Western Restaurant
704 7th St NW,Legal Sea Foods,4.3,(120) · $$ · Seafood
410 7th St NW,Hill Country Barbecue Market,4.0,(345) · $$ · Barbecue
1001 14th St NW,14K Restaurant,3.6,(30) · $$ · American
4 F St NW,The Dubliner Restaurant,3.9,(166) · $$ · Grill
505 H St NW,Momiji Restaurant,4.2,(117) · $$ · Sushi
1340 4th St NE,Masseria,4.4,(30) · $$$ · Italian
401 H St NE,Ethiopic Restaurant,4.3,(66) · $$ · Ethiopian
1320 14th St NW,the pig,4.5,(137) · $$ · American
1780 Florida Ave NW,Keren Restaurant & Coffee Shop,4.6,(81) · $ · Ethiopian
122 Blagden Alley NW,The Dabney,4.7,(47) · $$ · American
801 O St NW,Convivial,4.3,(45) · $$ · New American Restaurant
550 C St SW,21st Amendment Bar & Grill,3.1,(32) · Grill
999 9th St NW,Fifteen Squares Restaurant,3.8,(5) · $$ · Restaurant
1177 15th St NW,Rural Society,3.9,(51) · $$ · Argentinian
1518 K St NW,Catch 15 Italian Kitchen + Oyster Bar,4.0,(39) · $$ · Italian
2917 M St NW,Unum,4.0,(18) · $$ · American
801 9th St NW A,Cuba Libre Restaurant & Rum Bar,3.8,(198) · $$ · Cuban
1228 11th St NW,Tortino Restaurant,4.4,(43) · $$ · Italian
707 7th St NW,Clyde's of Gallery Place,3.8,(275) · $$ · American
438 Massachusetts Ave NW,Sixth Engine,4.2,(54) · $$ · American
1330 Maryland Ave SW,CityZen,4.2,(37) · $$$$ · American
1110 Vermont Ave NW,Mio,3.9,(35) · $$ · Puerto Rican
509 7th St NW #1,District ChopHouse & Brewery,4.0,(179) · $$ · Steak
601 Pennsylvania Ave NW,The Capital Grille,4.4,(157) · $$$ · Lobster
2147 P St NW,Marrakesh P street,3.4,(59) · $$ · Mediterranean
1926 14th St NW,Tico DC,3.9,(71) · $$ · American
1622 14th St NW,Barcelona Wine Bar 14th Street,4.4,(154) · $$ · Spanish
3251 Prospect St NW,Peacock Cafe,4.1,(59) · $$ · New American Restaurant
100 M St SE,Gordon Biersch,3.5,(46) · American
974 Palmer Alley NW,Centrolina,4.1,(23) · $$ · Italian
2305 18th St NW,Himalayan Heritage Restaurant,4.0,(64) · $$ · Indian
3000 K St NW,Farmers Fishers Bakers,4.2,(226) · $$ · American
3236 M St NW,Clyde's of Georgetown,4.1,(183) · $$ · American
1331 Pennsylvania Ave NW,Avenue Grill,None,4 reviews · American
806 15th St NW,ICI Urban Bistro,4.1,(12) · $$$ · French
2200 Pennsylvania Ave NW,District Commons,4.0,(108) · $$ · American
315 Pennsylvania Ave SE,Bearnaise,4.3,(31) · $$$ · French
600 13th St NW,Mastro's Steakhouse,4.0,(35) · $$$ · Restaurant
1201 F St NW,The Oceanaire Seafood Room,3.8,(77) · $$$ · Seafood
524 8th St SE,Garrison,4.6,(19) · $$$ · American
1114-1118 U St NW,Dukem Ethiopian Restaurant,3.8,(148) · $$ · Ethiopian
1967 Calvert St NW,Mama Ayeshas Restaurant,4.1,(66) · $$ · Middle Eastern
4822 MacArthur Blvd NW,Sakedokoro Makoto,4.7,(35) · $$$ · Japanese
1301 U St NW #113,Alero Restaurant,3.3,(90) · $$ · Mexican
1724 Connecticut Ave NW B,Alero Restaurant,3.1,(44) · $$ · Mexican
2434 Wisconsin Ave NW,Old Europe,4.6,(64) · $$ · German
934 Palmer Alley NW,Fig & Olive,3.9,(55) · $$ · Mediterranean
1503 9th St NW,Queen of Sheba Ethiopian Restaurant & Bar,4.1,(20) · $$ · Ethiopian
2121 14th St NW,Mulebone,3.9,(141) · $$ · American
300 Tingey St SE Suite 150,Nando's Peri-Peri,4.3,(55) · $ · Chicken
523 8th St SE,Ambar,4.6,(146) · $$ · Eastern European Restaurant
819 7th St NW,Nando's Peri-Peri,4.3,(236) · $$ · Portuguese
1518 U St NW,Jojo Restaurant & Bar,4.6,(79) · $$ · American
1063 Wisconsin Ave NW,Filomena Ristorante,4.1,(375) · $$ · Italian
600 14th St NW,MXDC Cocina Mexicana | By Chef Todd English,3.9,(96) · $$ · Mexican
839 17th St NW B,Cafe Soleil,3.4,(40) · $$ · French
1912 I St NW,Chalin's Restaurant,4.0,(50) · $$ · Chinese
436 11th St NW,Harry's Restaurant,2.8,(103) · $$ · Sandwich
800 16th St NW,The Lafayette,4.1,(11) · $$$$ · American
513 13th St NW,Boss Shepherd's Restaurant,3.9,(23) · $$ · American
2800 Pennsylvania Ave NW,Seasons,None,3 reviews · $$$$ · American
1904 14th St NW,Policy Restaurant & Lounge,3.9,(76) · $$ · American
1914 9th St NW,Dino's Grotto,4.2,(34) · $$ · Italian
1426 H St NW,Woodward Table,4.2,(80) · $$ · American
2437 18th St NW,Meze,4.3,(49) · $$ · Middle Eastern
901 Massachusetts Ave NW,Anthem,None,2 reviews · $$ · American
515 15th St NW,POV,3.5,(133) · $$$ · Tapas Bar
555 8th St NW,Poste,3.9,(79) · $$$ · French
2813 M St NW,La Chaumiere,4.3,(34) · $$$ · French
5335 Wisconsin Ave NW #201,RANGE,3.7,(36) · $$$ · American
1000 H St NW,Cure Bar and Bistro,3.9,(12) · $$ · Bistro
1600 Rhode Island Ave NW,Nage,3.8,(47) · $$ · American
1515 Rhode Island Ave NW,15 Ria,3.7,(15) · $$ · American
2519 Pennsylvania Ave NW,Bayou,3.8,(46) · $$ · American
1200 New Hampshire Ave NW,Meiwah,3.6,(96) · $$ · Chinese
1527 17th St NW,AGORA,4.4,(114) · $$ · Turkish
1155 14th St NW,DNV Rooftop,4.2,(24) · $$$ · Bar
639 Indiana Ave NW,Penn Quarter Sports Tavern,3.8,(101) · Fast Food
2003 P St NW,Pizzeria Paradiso,4.2,(240) · $$ · Pizza
1127 Connecticut Ave NW,Edgar,3.6,(10) · $$ · American
3419 Connecticut Ave NW,Nam-Viet,3.4,(41) · $$ · Vietnamese
1200 19th St NW,Mai Thai LLC,3.7,(61) · $$ · Thai
1819 14th St NW,El Centro D.F.,3.9,(170) · $$ · Mexican
3251 Prospect St NW,Mai Thai,4.0,(42) · $$ · Thai
2016 P St NW,Ezmè,4.0,(46) · $$ · Turkish
10 Thomas Cir NW,No 10 Thomas,3.8,(5) · $$ · American
502 H St NE,Le Grenier,4.5,(38) · $$ · French
1818 14th St NW,Ted's Bulletin,4.3,(228) · $$ · American
2007 14th St NW,Marvin,3.9,(127) · $$ · Belgian
3000 K St NW # 115,Best Sandwich Place,4.3,(13) · Sandwich
1835 18th St NW,Lauriol Plaza,3.9,(431) · $$ · Mexican
1825 Connecticut Ave NW,"Buca di Beppo - Washington, D.C.",3.3,(102) · $$ · Italian
4822 Yuma St NW,DeCarlo's Restaurant,4.1,(12) · $$ · Italian
1501 9th St NW,Chaplin’s Restaurant,4.4,(114) · $$ · Japanese
1 Washington Cir NW,Circle Bistro,3.4,(19) · $$$ · American
1050 Connecticut Ave NW,Morton's The Steakhouse,4.0,(28) · $$$ · American
1050 31st St NW,The Grill Room,3.8,(11) · $$$ · American
550 C St SW,Capitol Bistro,3.9,(6) · $$ · Bistro
5120 MacArthur Blvd NW,Et Voila!,4.0,(32) · $$ · Belgian
2317 Calvert St NW,New Heights Restaurant,4.0,(21) · $$$ · New American Restaurant
400 New Jersey Ave NW,Article One American Grill,3.6,(13) · $$ · American
