name,rev,price,desc
"Fiola
WebsiteDirections","4.3
56 Google reviews",$$$ · Italian Restaurant,"High-end restaurant serving rustic Italian food & creative cocktails in a modern, upscale space."
"Rasika West End
WebsiteDirections","4.4
128 Google reviews",$$$ · Indian Restaurant,Modern & traditional Indian fare served in a contemporary space with canopied turquoise booths.
"Corduroy
WebsiteDirections","4.0
46 Google reviews",$$$ · Fine Dining Restaurant,"Upscale, farm-to-fork eatery with a seasonal New American menu, modern decor & an upstairs bar."
Rasika,"4.2
302 Google reviews",$$ · Indian Restaurant,"Sophisticated restaurant & lounge serving modern Indian food, including the popular crispy spinach."
"Fogo de Chão Brazilian Steakhouse
WebsiteDirections","4.4
372 Google reviews",$$$ · Brazilian Restaurant,Upscale Brazilian chain for all-you-can-eat meat carved tableside plus an extensive salad bar.
"Minibar
WebsiteDirections","4.5
32 Google reviews",$$$$ · Bar,Chef José Andrés' inventive kitchen offers luxe fixed-price menus in chic digs for just 12 guests.
"The Lafayette
WebsiteDirections","4.1
11 Google reviews",$$$$ · American Restaurant,High-end restaurant in the Hay-Adams Hotel pairing sophisticated American cuisine with formal decor.
"Ristorante Tosca
WebsiteDirections","4.2
60 Google reviews",$$$ · Italian Restaurant,"Waiters in formal uniforms deliver fine Northern Italian fare in an elegant, neutral-toned setting."
"The Bombay Club
WebsiteDirections","3.7
127 Google reviews",$$$ · Indian Restaurant,Posh old-world dining room delivering sophisticated Indian meals along with live piano tunes.
"Prime Rib
WebsiteDirections","4.1
47 Google reviews",$$$ · Steak House,Business-casual steakhouse with tuxedoed waiters & a 1940s Manhattan supper-club setting.
"Red Hen
WebsiteDirections","4.6
70 Google reviews",$$ · Italian Restaurant,"Creative wood-fired Italian eats in an airy, rustic-industrial space with open kitchen & large bar."
"Zaytinya
WebsiteDirections","4.3
509 Google reviews",$$ · Mediterranean Restaurant,"Chef José Andrés' light, airy mainstay offers Eastern Mediterranean small plates & regional wines."
"Marcel's
WebsiteDirections","4.3
71 Google reviews",$$$$ · Belgian Restaurant,Elegant French-Belgian restaurant offering fixed-price menu selections by chef Robert Wiedmaier.
"Rose's Luxury
WebsiteDirections","4.6
111 Google reviews",$$ · Restaurant,"Eclectic New American tapas menu crafted in a cozy, converted townhouse with an upstairs lounge."
"The Inn at Little Washington
WebsiteDirections",4.8,5-star hotel,None
"Florida Avenue Grill
WebsiteDirections","4.1
90 Google reviews",$$ · Soul Food Restaurant,"Open since 1944, no-frills diner slinging large portions of down-home Southern classics."
"Rappahannock Oyster Bar
WebsiteDirections","4.5
24 Google reviews",$$ · Bar,Chesapeake Bay bivalves star at this Union Market hangout also offering small plates & drinks.
"Plume
WebsiteDirections","4.4
29 Google reviews",$$$$ · Fine Dining Restaurant,Elegant hotel eatery serving New American fare inspired by Thomas Jefferson's gardens at Monticello.
"Menomale
WebsiteDirections","4.6
63 Google reviews",$ · Pizza Restaurant,"Bright, narrow bistro serving wood-fired Neapolitan pizzas, calzones, sandwiches & craft beers."
