name,rev,price
"Noodle Pudding
WebsiteDirections","4.3
118 Google reviews",$$ · Italian Restaurant · Brooklyn
"Peter Luger Steak House
WebsiteDirections","4.2
910 Google reviews",$$$$ · Steak House · Brooklyn
"Vic's
WebsiteDirections","4.1
43 Google reviews",$$ · Mediterranean Restaurant
"Gnocco
WebsiteDirections","3.9
72 Google reviews",$$ · Pizza Restaurant
"Hasaki
WebsiteDirections","4.2
63 Google reviews",$$ · Japanese Restaurant
"Hearth
WebsiteDirections","4.2
102 Google reviews",$$$ · Fine Dining Restaurant
"Kanoyama
WebsiteDirections","4.1
88 Google reviews",$$ · Japanese Restaurant
None,None,None
"Soba-ya
WebsiteDirections","4.1
193 Google reviews",$$ · Japanese Restaurant
"Da Umberto
WebsiteDirections","4.4
41 Google reviews",$$$ · Italian Restaurant
"Rocking Horse Cafe
WebsiteDirections","4.0
137 Google reviews",$$ · Mexican Restaurant
"Paradou
WebsiteDirections","3.4
97 Google reviews",$$$ · French Restaurant
"Annisa
WebsiteDirections","4.5
88 Google reviews",$$$$ · American Restaurant
"BONDST
WebsiteDirections","4.2
131 Google reviews",$$$ · Japanese Restaurant
"Gotham Bar and Grill
WebsiteDirections","4.5
377 Google reviews",$$$$ · American Restaurant
"Le Gigot
WebsiteDirections","4.4
43 Google reviews",$$ · French Restaurant
"Lupa
WebsiteDirections","4.2
261 Google reviews",$$$ · Italian Restaurant
"Pearl Oyster Bar
WebsiteDirections","4.3
136 Google reviews",$$$ · Seafood Restaurant
"Hangawi
WebsiteDirections","4.3
183 Google reviews",$$$ · Korean Restaurant
"Phoenix Garden
WebsiteDirections","3.7
51 Google reviews",$$ · Chinese Restaurant
None,None,None
"IL Cortile
WebsiteDirections","3.9
117 Google reviews",$$$ · Italian Restaurant
"Dim Sum Go Go
WebsiteDirections","3.7
174 Google reviews",$$ · Chinese Restaurant
"Peking Duck House
WebsiteDirections","3.8
210 Google reviews",$$ · Chinese Restaurant
"Thai Son
WebsiteDirections","4.1
121 Google reviews",$$ · Vietnamese Restaurant
"Babbo Ristorante Enoteca
WebsiteDirections","4.2
487 Google reviews",$$$$ · Italian Restaurant
"Crispo
WebsiteDirections","4.0
141 Google reviews",$$$ · Italian Restaurant
"Mary's Fish Camp
WebsiteDirections","4.1
107 Google reviews",$$ · Seafood Restaurant
"Po
WebsiteDirections","4.2
86 Google reviews",$$$ · Italian Restaurant
"Sevilla Restaurant & Bar
WebsiteDirections","4.2
87 Google reviews",$$ · Spanish Restaurant
"MarkJoseph Steakhouse
WebsiteDirections","4.5
90 Google reviews",$$$ · Steak House
"Nebraska Steakhouse
WebsiteDirections","4.0
15 Google reviews",$$$ · Steak House
Il Riccio,"4.3
15 Google reviews",$$$ · Italian Restaurant
"JoJo
WebsiteDirections","4.2
106 Google reviews",$$$ · French Restaurant
"Lusardi's
WebsiteDirections","4.5
35 Google reviews",$$$ · Italian Restaurant
"Orsay
WebsiteDirections","3.8
75 Google reviews",$$$ · French Restaurant
"Shanghai Pavilion
WebsiteDirections","3.8
21 Google reviews",$$ · Chinese Restaurant
None,None,None
None,None,None
"Aureole
WebsiteDirections","4.4
206 Google reviews",$$$$ · New American Restaurant
