name,rev,price
Fiola Mare,"4.5
93 Google reviews",$$$ · Seafood Restaurant
Komi,"4.5
120 Google reviews",$$$$ · Greek Restaurant
Little Serow,"4.5
58 Google reviews",$$$ · Thai Restaurant
Convivial,"4.3
45 Google reviews",$$ · New American Restaurant
Rasika and Rasika West End,"4.4
128 Google reviews",$$$ · Indian Restaurant
Plume,"4.4
29 Google reviews",$$$$ · Fine Dining Restaurant
Bad Saint,"4.5
48 Google reviews",$$ · Filipino Restaurant
Casa Luca,"4.1
49 Google reviews",$$ · Italian Restaurant
Izakaya Seki,"4.5
50 Google reviews",$$ · Japanese Restaurant
The Source,None,None
Masseria,None,None
Garrison,None,None
Proof,None,None
Maketto,"4.5
108 Google reviews",$$ · Asian Restaurant
Blue Duck Tavern,"4.4
169 Google reviews",$$$ · American Restaurant
Bistro Bis,"4.3
61 Google reviews",$$$ · French Restaurant
Central Michel Richard,"4.1
142 Google reviews",$$$ · French Restaurant
Marcel’s,None,None
Rose’s Luxury,"4.6
111 Google reviews",$$ · Restaurant
Minibar,"4.5
32 Google reviews",$$$$ · Bar
Fiola,"4.3
56 Google reviews",$$$ · Italian Restaurant
Estadio,"4.2
100 Google reviews",$$ · Spanish Restaurant
Sushi Capitol,"4.4
46 Google reviews",$$ · Sushi Restaurant
The Riggsby,"4.6
29 Google reviews",$$ · American Restaurant
Le Diplomate,"4.5
244 Google reviews",$$ · French Restaurant
Bibiana,"3.5
42 Google reviews",$$$ · Italian Restaurant
2Amys,"4.2
263 Google reviews",$$ · Pizza Restaurant
Obelisk,"4.5
28 Google reviews",$$$$ · Italian Restaurant
DBGB Kitchen and Bar,None,None
Mintwood Place,"4.3
61 Google reviews",$$ · American Restaurant
The Red Hen,None,None
Iron Gate,None,None
Del Campo,"4.2
43 Google reviews",$$$ · Latin American Restaurant
The Bombay Club,"3.7
127 Google reviews",$$$ · Indian Restaurant
Thip Khao,"4.4
88 Google reviews",$$ · Laotian Restaurant
Osteria Morini,None,None
The Dabney,"4.7
48 Google reviews",$$ · American Restaurant
Momofuku CCDC,"3.9
146 Google reviews",$$ · American Restaurant
Etto,"4.2
35 Google reviews",$$ · Italian Restaurant
Zaytinya,"4.3
510 Google reviews",$$ · Mediterranean Restaurant
Ghibellina,"4.5
70 Google reviews",$$ · Italian Restaurant
Baby Wale,"3.9
33 Google reviews",$$ · New American Restaurant
Graffiato,"3.8
126 Google reviews",$$ · Italian Restaurant
Hank’s Oyster Bar,"4.2
173 Google reviews",$$ · Oyster Bar Restaurant
Daikaya Ramen,"4.4
354 Google reviews",$$ · Japanese Restaurant
Crane & Turtle,"4.2
13 Google reviews",$$ · Japanese Restaurant
Johnny’s Half Shell,None,$$ · American Restaurant
Centrolina,"4.1
23 Google reviews",$$ · Italian Restaurant
Toki Underground,"4.4
208 Google reviews",$$ · Asian Restaurant
China Chilcano,"4.1
121 Google reviews",$$ · Peruvian Restaurant
G by Mike Isabella,"4.4
25 Google reviews",$$ · Italian Restaurant
Chez Billy and Chez Billy Sud,"4.4
18 Google reviews",$$ · French Restaurant
Equinox,"4.0
58 Google reviews",$$$ · Fine Dining Restaurant
Et Voila!,None,None
Ardeo & Bardeo,"4.2
39 Google reviews",$$ · New American Restaurant
The Partisan,"4.4
72 Google reviews",$$ · American Restaurant
Brasserie Beck,"4.1
193 Google reviews",$$$ · Belgian Restaurant
Pearl Dive Oyster Palace,"4.3
86 Google reviews",$$ · Brunch Restaurant
Doi Moi,"4.3
60 Google reviews",$$ · Southeast Asian Restaurant
Ripple,"4.1
49 Google reviews",$$$ · American Restaurant
BlackSalt,"4.3
88 Google reviews",$$$ · Seafood Restaurant
Compass Rose,None,None
Lupo Verde,"4.5
66 Google reviews",$$ · Italian Restaurant
The Source,None,None
Masseria,"4.4
30 Google reviews",$$$ · Italian Restaurant
The Source,"4.0
87 Google reviews",$$$ · Asian Restaurant
Masseria,"4.4
30 Google reviews",$$$ · Italian Restaurant
Garrison,"4.6
19 Google reviews",$$$ · American Restaurant
Proof,"4.1
89 Google reviews",$$$ · American Restaurant
Marcel’s,"4.3
71 Google reviews",$$$$ · Belgian Restaurant
DBGB Kitchen and Bar,"4.0
55 Google reviews",$$$ · French Restaurant
Compass Rose,"4.4
53 Google reviews",$$ · Mediterranean Restaurant
Et Voila!,"4.1
32 Google reviews",$$ · Belgian Restaurant
