name,stars,review,cooking_type,address,usd_avg,state,rating,numrev,goog_price,cuisine,bstars,cstars,pc,zip
Noodle Pudding,0.0,"With Dean Martin and Frank Sinatra rotating on the playlist and a dark wood bar full of regulars, Noodle Pudding embodies all the essential qualities of a winning neighborhood spot. It's the type of place to kick back and relax, dine on consistently good food, and even sit solo but never feel ""alone."" The kitchen has mastered Italian-American classics, with honest ingredients and great preparation, like the balance of acidic and sweet components in the gently poached cod Livornese. The tantalizing eggy-cheesy, slightly smoky-sweet, and creamy carbonara that bathes toothsome mezze rigatoni, fava beans, and tiny pork sausage meatballs is ""dyno-mite."" Top it all off with the exemplary (and shareable) house-made cheesecake and a perfect shot of espresso.",Italian,"38 Henry St., New York 11201",37.0,NY,4.3,118,2,54,0,0,37.0,11201
Peter Luger,1.0,"Venerated Peter Luger resides in an expansive space reminiscent of old New York and early German ale houses-an endless line of visitors only serves to reiterate how special a place this truly is. Add to that a series of imposing pane windows, wood-paneled walls, and decorative old steins, and find yourself utterly smitten. Begin with thrillingly fatty, thick-cut bacon nearly sweet on the outside, or shrimp cocktail in a rich tomato dressing. But, what truly leaves diners speechless is that delightfully succulent Porterhouse for two, three, or four. These slabs of beautifully naked meat are simple but their marbling is a thing of complexity and perfection, sizzling in drippings. The wedge salad sets a new standard: it is an enormous and crisp slice of iceberg drowned in blue cheese dressing, chopped tomato, and more bacon. The carnivorous feast is complete when sanctified by crispy French fries or excellent creamed spinach. Properly prepped servers are cordial, yet informal and never chatty. A hunk of NY cheesecake, creamy, tart, and served with schlag, is every bit as classic as one imagines. Equally marvelous and dressed to the nines is a ""Holy cow sundae""-the title speaks for itself.",Steakhouse,"178 Broadway, New York 11211",112.5,NY,4.2,911,4,99,1,1,112.5,11211
Gnocco,0.0,"A casual cucina with a lovely back garden, Gnocco is a neighborhood staple with a homey touch. The restaurant charms with creaky wood floors and exposed brick walls accented by abstract paintings. The wood-burning oven at the entrance sets a warm tone, and greets guests with the heady aroma of freshly baked bread. The signature gnocco (sweet, salty pillows of fried bread) can be ordered as an appetizer, side, or even as a dessert with Nutella. Pizzas shine on this carb-centric menu, thanks to that blistered thin crust hanging over the plate's edge. The Amatriciana layers tart tomato sauce with sweet red onion, shreds of pancetta, and a heavy-handed sprinkle of red pepper flakes. The torta cioccolato with chocolate mousse makes a fine dessert.",Italian,"337 E. 10th St., New York 10009",37.0,NY,3.9,72,2,82,0,0,37.0,10009
Hasaki,0.0,"Since the mid-eighties, this local darling has been going strong thanks to its high quality ingredients, skilled kitchen, and excellent value. For under $20, the soba lunch set will warm the heart of any frugal fan of Japanese cuisine. This generous feast features a bowl of green tea noodles in hot, crystal-clear dashi stocked with wilted water spinach and fish cake, accompanied by lean tuna chirashi, yellowtail, and kanpyo. The ten-don, a jumbo shrimp tempura served over rice, is just as enticing. The à la carte offerings draw crowds seeking delish sushi as well as a host of tasty cooked preparations; a Twilight menu is nice for early birds. The dining room has a clean and spare look, with seating available at a number of wood tables or sizable counter.",Japanese,"210 E. 9th St., New York 10003",37.0,NY,4.2,63,2,55,0,0,37.0,10003
Hearth,0.0,"After more than a decade delighting fans, Chef Marco Canora and his dining room still have what it takes to impress Manhattan's fickle diners. The space remains fresh and welcoming, and the chef has added an adjacent bone broth kiosk, Brodo, which has converts lining up for their daily fix. Italian classics given a creative reworking are the key to Hearth's longtime success. Baccalà is used to compose roasted cod scattered with crisped bits of skin, silky chickpea purée, and garlic confit. Then veal-and-ricotta meatballs wrapped in slow-cooked tomato sauce are nestled in stone-ground polenta that is prepared cacio e pepe-style. And, desserts here are as enticing as the wines. Imagine a warm autumn fruit crisp, complete with pecan streusel and honey gelato.",Mediterranean,"403 E. 12th St., New York 10009",62.0,NY,4.2,102,3,32,0,0,87.25,10009
Kanoyama,0.0,"Offering an impressive lineup of excellent quality and deftly prepared fish, this popular and permanently packed sushi den is housed in a space that may be simply decorated but is spotless and well-maintained. The kitchen's focus here is on a parade of pristine cuts that are bolstered by a passage of daily items such as rich baby shad from Japan and tender, mild American white bonito. Also find a generous listing of plump, briny oysters; starters such as wakasagi tempura (fried baby smelts) sprinkled with green tea-salt; and a handful of cooked entrées. The value-conscious omakase is highly recommended. Besides being tempting, the website is very informative: it presents diverse fish facts, photos, and recommendations for seasonality and preparation.",Japanese,"175 Second Ave., New York 10003",37.0,NY,4.1,88,2,55,0,0,37.0,10003
Rocking Horse Cafe,0.0,"A Chelsea classic since 1988, this Mexican café has a split personality. The front room-with vibrant orange walls, glowing lanterns, bare tabletops, and a long bar-is a bright, casual place to sample tequila cocktails or crunch into handmade tortilla chips and smoky salsa. Beyond a blue mosaic wall, the back room is a down-to-earth dining spot with a relaxed feel.The distinctive menu includes the likes of cordero enchipotlado, chipotle braised lamb shank with caramelized onions, roasted tomatoes, and epazote over a creamy bed of cotija-spiked polenta; or blue corn crepas de pato stuffed with duck confit. The wise diner who ventures beyond commonplace dishes here is rewarded with complex, from-scratch cooking with soul.",Mexican,"182 Eighth Ave., New York 10011",37.0,NY,4.0,137,2,66,0,0,37.0,10011
Paradou,0.0,"For a restaurant that refuses to take itself too seriously, the crowd-pleasing bistro cuisine here is no joke. At home along a cobblestoned street in the clubby Meatpacking District, Paradou offers a handful of tables and a stocked bar. Move past the vintage French liquor ads and down a brick-lined hallway to find a year-round back garden outfitted with chandeliers, a high glass roof, and tables crafted from vintage wine crates. The menu's foundation is Provençal cooking, but its lighthearted spirit feels free to stray. Begin with Amish bacon ""crack""-chili-spiked bacon jerky made from Pennsylvania Amish pigs. The duck breast is expertly seared, with crisp skin and a pink center. Don't skip the springy crêpes, filled with Nutella and ripe bananas.",French,"8 Little W. 12th St., New York 10014",37.0,NY,3.4,97,3,44,0,0,37.0,10014
BONDST,0.0,"There's no denying that BONDST is still trendy after all these years; it even manages to stay sexy with sheer fabric panels, wispy tree branches, dark leathers, and private spaces. The three-story interior fills nightly with a very European crowd. (Romantics head downstairs; Bacchanalians go up.) High quality fusion dishes may seem more crowd-pleasing than inventive, but are nonetheless delicious. Behind the wood sushi bar, the buzzing kitchen rolls mountains of maki, like paper-thin slices of pristine scallops balanced with a thick soy-jalapeño sauce and yuzu kosho. The soba nomi ""risotto"" is a wickedly rich and unmissable dish of glistening buckwheat soba folded with trout butter, king crab, and shrimp beneath a thatch of bonito flakes and gold paper.",Japanese,"6 Bond St., New York 10014",62.0,NY,4.2,131,3,55,0,0,62.0,10014
Gotham Bar and Grill,1.0,"Warm, personable, and genuine, Gotham Bar and Grill has everything a New York restaurant needs to stand the test of time. Inside, find towering floral arrangements and lofty ceilings hung with massive fabric-draped fixtures, which soften the room's appearance. The interior is vast, but the sunken dining area, elevated bar, and smartly divided room feel more classic than overdone. The service team exemplifies on-the-ball excellence. This kitchen's distinctive American seasonal cooking is in clear balance from start to finish. Begin with the simple-sounding tuna tartare combining chopped yellowfin and shiso surrounded by Japanese cucumber, enlivened with miso-ginger vinaigrette. Move on to explore seasonal risotto, showcasing wintery mushrooms or perhaps a summery feast of sweet shrimp, chives, and touch of tomato. Batter-fried soft-shell crabs are a feat of technical perfection, with body and crisped legs set over sautéed vegetables and a light citrus-soy reduction. Desserts alone are worth a visit, especially to indulge in the famously dense chocolate cake, served warm with a scoop of luscious salted-almond ice cream and cracked cocoa nibs. The ""greenmarket"" prix-fixe lunch offers great value and quality.",American,"12 E. 12th St., New York 10003",62.0,NY,4.5,377,4,2,1,1,112.5,10003
Le Gigot,0.0,"As classically beautiful and intricate as the Metro signs of Paris, this petitresto is dedicated to honoring The City of Light. Modeled after the Left Bank bistro Polidor, the iconic interior features parquet floors, zinc-topped tables, and antique mirrored walls. The room fills quickly with regulars; the dedicated staff graciously greets most by name. The food is equally beloved, with such classics as generous charcuterie platters that include sausage, duck rillettes, silky smooth chicken liver, and hearty country pâtés. The excellent boeuf Bourguignon is a comforting dish of braised beef cubes, carrots, potatoes, button mushrooms, sweet shallots, and plenty of bacon. Come dessert, tarte Tatin smells of apples and heaven (but with extra butter).",French,"18 Cornelia St., New York 10014",37.0,NY,4.4,43,2,44,0,0,37.0,10014
Lupa,0.0,"One of the best places for a solid plate of pasta, Lupa fits in snugly between the fire escape-clad walk-ups and charming boutiques along these streets. A modestly decorated spot named for the she-wolf who raised Romulus and Remus, this gem carries an air of relaxed sophistication. It's where neighbors can gather for polite conversation over quartinos of Ligurian wine or the massive collection of amari. If it's a lovely place to sit, it's a stellar place to dine. Textbook-perfect pasta shines here, with luscious bucatini all' amatriciana earning its mark among Lazio classics as well as the beguilingly simple yet stunning cacio e pepe. Entrées may sometimes miss the mark, but dessert more than makes up for it-try the unique cardamom panna cotta.",Italian,"170 Thompson St., New York 10012",37.0,NY,4.2,261,3,54,0,0,37.0,10012
