name,rating,numrev,goog_price,cuisine
Noodle Pudding,4.3,118,$$, Italian  
Peter Luger Steak House,4.2,910,$$$$, Steak House 
Vic's,4.1,43,$$, Mediterranean 
Gnocco,3.9,72,$$, Pizza 
Hasaki,4.2,63,$$, Japanese 
Hearth,4.2,102,$$$, Fine Dining 
Kanoyama,4.1,88,$$, Japanese 
Soba-ya,4.1,193,$$, Japanese 
Da Umberto,4.4,41,$$$, Italian 
Rocking Horse Cafe,4.0,137,$$, Mexican 
Paradou,3.4,97,$$$, French 
Annisa,4.5,88,$$$$, American 
BONDST,4.2,131,$$$, Japanese 
Gotham Bar and Grill,4.5,377,$$$$, American 
Le Gigot,4.4,43,$$, French 
Lupa,4.2,261,$$$, Italian 
Pearl Oyster Bar,4.3,136,$$$, Seafood 
Hangawi,4.3,183,$$$, Korean 
Phoenix Garden,3.7,51,$$, Chinese 
IL Cortile,3.9,117,$$$, Italian 
Dim Sum Go Go,3.7,174,$$, Chinese 
Peking Duck House,3.8,210,$$, Chinese 
Thai Son,4.1,121,$$, Vietnamese 
Babbo Ristorante Enoteca,4.2,487,$$$$, Italian 
Crispo,4.0,141,$$$, Italian 
Mary's Fish Camp,4.1,107,$$, Seafood 
Po,4.2,86,$$$, Italian 
Sevilla Restaurant & Bar,4.2,87,$$, Spanish 
MarkJoseph Steakhouse,4.5,90,$$$, Steak House
Nebraska Steakhouse,4.0,15,$$$, Steak House
Il Riccio,4.3,15,$$$, Italian 
JoJo,4.2,106,$$$, French 
Lusardi's,4.5,35,$$$, Italian 
Orsay,3.8,75,$$$, French 
Shanghai Pavilion,3.8,21,$$, Chinese 
Aureole,4.4,206,$$$$, New American 
Cafe Boulud,4.4,180,$$$$, French 
Blue Water Grill,4.1,340,$$$, Seafood 
Casa Mono,4.2,192,$$$, Spanish 
Craftbar,3.9,161,$$$, Bar & Grill
Craft,4.4,183,$$$, Fine Dining 
Eleven Madison Park,4.6,579,$$$$, Fine Dining 
i Trulli,4.1,99,$$$, Italian 
Periyali - Fine Greek Food Manhattan NYC,4.2,55,$$$, Greek 
Tocqueville,4.5,78,$$$$, French 
Turkish Kitchen,4.1,131,$$, Turkish 
Malagueta,4.4,46,$$, Brazilian  
Trattoria L'incontro,4.4,137,$$$, Italian  
Tribeca Grill,4.0,293,$$$$, Bar & Grill
Alcala Restaurant,4.3,27,$$$, Spanish 
Restaurant Aquavit,4.4,181,$$$$, Scandinavian 
BLT Steak,4.4,118,$$$$, Steak House
Lavagna,4.4,70,$$, Italian 
Momofuku Noodle Bar,4.1,779,$$, Asian 
Felidia,4.1,120,$$$$, Italian 
Jubilee,4.0,28,$$$, French 
La Grenouille,4.5,128,$$$$, French 
Sushi Yasuda,4.3,335,$$$$, Sushi 
Aquagrill,4.3,245,$$$, Seafood 
The Mercer Kitchen,4.0,251,$$$, American 
Balthazar,4.2,898,$$$, French 
Giorgione,4.4,36,$$, Italian 
Le Bernardin,4.6,671,$$$$, Seafood 
Peter Luger,4.2,911,$$$$, Steak House 
Gotham Bar and Grill,4.5,377,$$$$, American 
Babbo,4.2,487,$$$$, Italian 
Aureole,4.4,206,$$$$, New American 
Café Boulud,4.4,180,$$$$, French 
Casa Mono,4.2,192,$$$, Spanish 
Eleven Madison Park,4.6,579,$$$$, Fine Dining 
Aquavit,4.4,181,$$$$, Scandinavian 
Sushi Yasuda,4.3,335,$$$$, Sushi 
Le Bernardin,4.6,671,$$$$, Seafood 
Per Se,4.6,506,$$$$, New American 
Spotted Pig,4.1,922,$$$, British 
Wallsé,4.4,69,$$$, Austrian 
Blue Hill,4.5,241,$$$$, American 
Masa,4.4,6,$$$$, Japanese 
Gramercy Tavern,4.5,711,$$$$, American 
Jewel Bako,4.3,73,$$$, Sushi 
Jean-Georges,4.4,485,$$$$, French 
Public,4.0,239,$$$$, Eclectic 
The Modern,4.5,280,$$$$, New American 
Kyo Ya,4.6,59,$$$$, Japanese 
Soto,4.1,60,$$$$, Japanese 
Momofuku Ko,4.5,164,$$$$, American 
Sushi Azabu,4.5,47,$$$, Sushi 
Dovetail,4.4,126,$$$$, American 
Kajitsu,4.4,30,$$$$, Japanese 
Minetta Tavern,4.2,347,$$$, French 
Marea,4.5,319,$$$$, Italian 
Aldea,4.0,88,$$$, Portuguese 
Chef's Table at Brooklyn Fare,3.6,61,$$$$, French  
Junoon,4.0,274,$$$, Indian 
Tulsi,4.2,78,$$$, Indian 
Ai Fiori,4.4,154,$$$$, Italian 
Brushstroke,4.5,65,$$$$, Japanese 
Jungsik,4.4,49,$$$$, Korean 
Café China,4.4,206,$$, Chinese 
atera,4.7,43,$$$$, New American 
Blanca,4.9,14,$$$$, New American  
Pok Pok Ny,4.3,186,$$, Thai  
La Vara,4.5,64,$$$, Spanish  
Casa Enríque,4.6,120,$$, Mexican  
Caviar Russe,4.3,19,$$$$, New American 
Andanada,4.2,44,$$$, Spanish 
Carbone,4.3,84,$$$$, Italian 
Betony,4.4,61,$$$, New American 
The Musket Room,4.6,53,$$, New Zealand 
Uncle Boons,4.5,101,$$, Thai 
Ichimura,4.8,21,$$$$, Japanese 
ZZ's Clam Bar,4.3,15,$$$, Seafood 
Luksus at Tørst,4.6,182,$, Scandinavian  
Piora,4.7,33,$$$, New American 
M. Wells Steakhouse,4.3,42,$$$, Steak House 
Cagen,4.0,8,$$$, Japanese 
Somtum Der,4.3,97,$$, Thai 
Hirohisa,4.7,13,$$$, Japanese 
The River Café,4.2,338,$$$$, American  
Delaware and Hudson,4.7,38,$$$, American  
Bâtard,4.3,77,$$$, Modern European 
Meadowsweet,4.6,39,$$$, New American  
Semilla,4.5,24,$$$$, American  
Gabriel Kreuther,4.4,43,$$$, Modern French 
The Finch,4.2,22,$$$, American  
Rebelle,4.5,22,$$$, French 
Tempura Matsui,4.1,10,$$$$, Japanese 
Daniel,4.5,510,$$$$, French 
Del Posto,4.4,331,$$$$, Italian 
Tori Shin,4.4,25,$$$$, Japanese 
The Breslin,4.2,347,$$$, British 
Pachanga Patterson,3.9,34,$$, Mexican  
Maizal,4.0,26,$$, Mexican  
Colicchio &amp; Sons,4.4,229,$$$, Gastropub
Brushstroke,4.5,65,$$$$, Japanese 
Salinas,4.4,82,$$$, Spanish 
Graffiti,4.3,95,$$$, Asian Fusion 
Boulud Sud,4.5,97,$$$, Mediterranean 
Nougatine,4.2,44,$$$, French 
Liebman's,4.3,60,$, Kosher  
Anella,4.2,60,$$, American  
Bread &amp; Tulips,4.1,22,$$, Italian 
Kunjip,3.3,266,$$, Korean 
Rucola,4.4,101,$$, Italian  
Saraghina,4.4,197,$$, Italian  
Ramen Misoya,4.5,91,$, Ramen 
Mari Vanna,4.2,137,$$$, Russian 
Gradisca,4.1,57,$$$, Italian 
Il Buco Alimentari e Vineria,4.2,96,$$$$, Italian 
Left Bank,4.3,31,$$$, American 
Saxon + Parole,4.3,112,$$$, American 
Tertulia,4.2,85,$$, Spanish 
Casa Nonna,4.4,93,$$, Italian 
Chez Napoléon,4.1,43,$$$, French 
Lan Sheng,3.9,67,$$, Sichuan 
Miss Korea,4.1,240,$$, Korean Barbecue 
pizzArte,4.1,130,$$, Italian 
Tang Pavilion,4.0,61,$$, Chinese 
Jungsik,4.4,49,$$$$, Korean 
Tiny's,4.3,79,$$, Bar
Andaz,4.2,22,$$, 
Café Mingala,3.7,31,$$, Burmese 
Fatty Fish,4.2,49,$$, Asian Fusion 
Elizabeth's Neighborhood Table,4.2,53,$$, American 
Vai,4.3,38,$$, Mediterranean 
Battersby,4.4,53,$$$, American  
Black Swan,3.9,150,$$, American  
Bozu,4.4,103,$, Sushi  
Café Steinhof,4.0,103,$$, Austrian  
Chavela's,4.4,269,$$, Mexican 
Forcella,4.3,43,$$, Pizza 
Jolie Cantina,3.9,44,$$,  
Mill Basin Kosher Delicatessen,3.7,48,$$, Deli 
Mtskheta Café,4.5,22,$$, Georgian  
Roebling Tea Room,3.7,150,$$, Tea House 
The Saint Austere,4.8,32,$$, Wine Bar 
SoCo,4.1,202,$$, Southern  (US) 
Samurai Mama,4.4,85,$$, Japanese  
St. Anselm,4.5,125,$$, Steak House 
Agnanti,4.3,101,$$, Greek  
Alobar,4.6,59,$$, New American  
Co.,4.2,172,$$, Pizza 
