State,address,cooking_type,cuisine,name,pr,rating,review,stars,usd_avg,price
CA,"579 Castro St., San Francisco 94114",Seafood,Seafood,Anchor Oyster Bar,$$,4.5,"Landlubbers seeking a taste of the sea can be found pulling up a stool at this Castro institution, where waves of waiting diners spill out the doors. This tiny, minimally adorned space filled with old-fashioned charm is better for twosomes than groups. While the menu may be petite, it's full of fresh fare like a light and flavorful Dungeness crab ""burger"" on a sesame bun; Caesar salad combining sweet prawns and tangy anchovy dressing; or a cup of creamy Boston clam chowder loaded with fresh clams and potatoes. As the name portends, raw oysters are a specialty, so fresh and briny that the accompanying mignonette may not be necessary. And while the cioppino is only an occasional special, it's worth ordering if available, as it's a signature.",0.0,37.0,2.0
CA,"180 Rutherford Hill Rd., Rutherford 94573",Californian,American,Auberge du Soleil,$$$$,4.7,"The approach to this wine country destination, tucked into a tiny hill among steep winding roads and famed wineries, is a treat in itself. Every corner of the building oozes warmth-even the terrace (kept toasty with space heaters) and its spectacular views overlooking that patchwork of vines and pine forests. The classy and very cozy dining room boasts a wood-burning fire and a natural color scheme that flows from the rattan chairs and pumpkin-colored embroidered linens to the terra-cotta walls. Servers are equally warm, professional, and courteous. The sophisticated clientele (many of them guests of the hotel) seem to be relishing this as an escape from their busy and prosperous daily lives. Still, the cooking trumps the setting with near-flawless preparations of seasonal, California-inspired cuisine. Begin with delicate gnocchi that promise to just melt in the mouth, swimming in a pungent, meaty parmesan and mushroom nage along with chopped pea shoots and sautéed wild mushrooms. Superlative entrées may feature succulent bay scallops, their sweetness offset by lemony roasted cauliflower, all surrounded by a pearly ribbon of prosciutto. Pumpkin mousse is the essence of fall on a plate.",1.0,112.5,4.0
CA,"1310 Main St., St. Helena 94574",Italian,Italian,Cook St. Helena,$$$,4.5,"An artistically lit antelope head hangs in this Italian haven on St. Helena's main drag. Random? Not really, when one considers how rare solid cooking and sane prices can be in this tony burg. The cozy space has two seating options: a gleaming marble counter as well as tables that stretch from front to back (the ones up front are lighter, airier, and more preferable). The food is thoughtful and refined with a daily rotating risotto, house-stretched mozzarella and burrata, and glorious pastas like ricotta fazoletti with a deeply flavored Bolognese. Grilled octopus salad with potatoes, olives, and tomato dressing is boosted by prime ingredients and careful seasoning. The wine list tempts at dinner, but bloody Mary's are all the rage at brunch, and are also served at Cook Tavern next door.",0.0,37.0,3.0
CA,"6510 Washington St., Yountville 94599",French,French,Bistro Jeanty,$$$,4.5,"Napa transforms into the French countryside via a meal at Jeanty, which serves rib-sticking favorites like coq au vin, boeuf Bourguignon, and a sinfully rich milk-fed veal chop with chanterelle mushrooms and Camembert sauce. But California's lighter side is here, too: a salad of silken smoked trout and frisée is garden-fresh, and daily specials highlight the best in local produce. The classic bistro accoutrements (yellow walls, wooden tables, framed retro posters) are present and accounted for, but there's an element of quirky fun here as well-from the flower-bedecked bicycle out front to the porcelain hens and hogs that dot the dining room. Like the flaky, caramelized, and unmissable tarte Tatin, this is a gorgeous update on a classic.",0.0,37.0,3.0
CA,"9020 Graton Rd., Graton 95444",Californian,Mediterranean,Willow Wood Market Cafe,$$,4.2,"Whether they're fueling up for work or for wine tasting, a down-to-earth crowd can always be found at this friendly, casual neighborhood diner, full of quirky local art, shelves stocked with gag food gifts and local sundries. Then there's also that big wall of wines (this is Sonoma, after all). Waitresses shout orders, coffee comes from serve-yourself thermoses, and guests couldn't be happier. Get your veggies with the generously portioned farmer's scramble, full of soft and spicy peppers and onions, not to mention plenty of creamy white cheddar and springy, meaty New Mexican chicken-turkey sausage. For a sweet tooth, the challah French toast, golden-brown and topped with a generous scoop of cinnamon butter and chopped pecans, is where it's at.",0.0,37.0,2.0
CA,"140 E. Napa St., Sonoma 95476",Californian,Cafe,Cafe La Haye,$$$,4.6,"For years, Cafe La Haye has been a standby off the square in downtown Sonoma. One bite of its luscious burrata, surrounded with Early Girl tomatoes and crispy squash blossoms in the summer, or vinaigrette-dressed pea shoots in spring, proves it hasn't aged a day. The small, modern space is still charming, with large windows and lots of mirrors. Stunning local artwork for sale decorates the walls. The food spans cultural influences, including a delicate risotto with pine nuts in a cauliflower broth, or soy-sesame glazed halibut atop whipped potatoes and braised kale. A postage stamp-sized bar pours glasses of Sonoma chardonnay and cabernet, perfect with rich strozzapreti tossed with braised pork ragù, Grana Padano, and toasted breadcrumbs.",0.0,37.0,3.0
CA,"133 E. Napa St., Sonoma 95476",Italian,Italian,Della Santina's,$$,4.0,"Diners at this homey trattoria off Sonoma's town square are treated like members of the Della Santina family, whose vintage photographs fill the walls and whose treasured family recipes pour out of the kitchen regularly. From the first welcome to the final goodbye, the namesake tribe is here to look after you, with warm smiles and friendly pats on the back. The rustic food has its roots in Tuscany, with favorite dishes like pappardelle in a rich, hearty duck sugo with chunks of tender garlic and sweet tomato. A spatchcocked roast quail has juicy flesh and a beautifully browned, spice-coated exterior, alongside a heaping helping of nutty wild rice and meaty mushrooms. On the way out, grab a bottle of Italian wine from the enoteca next door.",0.0,37.0,2.0
CA,"231 Center St., San Francisco 95448",Californian,American,Barndiva,$$$,4.3,"Pristine ingredients are the real stars at this decidedly un-diva-like restaurant, which thoughtfully showcases California's bounty. Beautifully composed salads, like a combo of romaine, apples, avocado, blue cheese, and bacon, shine bright; while creative takes on croquettes (with goat cheese and tomato jam) and lobster rolls (a ""club"" with bacon, tomato, and arugula) don't sacrifice balance or technique. With a thoughtfully constructed cocktail menu boasting an array of spirits, herbs, and infusions, Barndiva offers lots to explore off the plate. Witty decorative touches like two-story green velvet curtains and a wall-hanging made of wood shoe stretchers only add to the fun. And for post-meal perusing, there's even an art gallery located right next door.",0.0,37.0,3.0
CA,"1314 McKinstry St., Rutherford 94573",Contemporary,French,La Toque,$$$$,4.4,"You'll want to tip your own toque in appreciation after a luxurious meal at this downtown Napa palace of fine dining, which blends a serious approach to cuisine and service with just enough cheeky touches to keep things lively. Housed on the grounds of the Westin Verasa Napa, La Toque may boast an oversized inflatable chef's hat hanging above its walkway, but it's the soul of modern sophistication inside, with rich, leather-topped tables, a flickering fireplace, and an extensive wine list-proffered on an iPad. Service is particularly notable, and the well-trained, knowledgeable staff moves in perfect synchronicity amongst a dressed-up crowd of diners savoring special occasions. Choose from a four- or five-course à la carte menu, with exquisite offerings like hand-rolled cavatelli in a deep green nettle pesto or luscious seafood congee packed with Dungeness crab and woodsy matsutake mushrooms. The trio of lamb is a real highlight, boasting slow-cooked collar, succulent merguez sausage, and moist, juicy loin. For dessert, a creamy semifreddo in apple broth is the perfect conclusion: like the restaurant itself, it's equal parts glamorous, homey, and exceptionally delicious.",1.0,62.0,4.0
CA,"1517 Shattuck Ave., Berkeley 94709",Californian,Californian,Chez Panisse,$$$$,4.5,"For avid gourmets, Alice Waters' mecca of Californian cuisine needs no introduction. Housed in a beautiful Craftsman-style home, it's divided in two: the upstairs café offers more casual fare, while the elegant downstairs restaurant serves a nightly prix-fixe menu. Both spaces teem with copper light fixtures, displays of seasonal foliage, and vintage glassware. The restaurant prides itself on serving every ingredient at peak season, from the raspberries in a prosecco aperitif to the delicate Black Prince tomato that tops handmade roasted eggplant ravioli. Many dishes are cooked at the wood-fired hearth, like a delectably smoky pork loin with sweet corn and fried squash blossoms. This icon books up early; be sure to reserve a month in advance.",0.0,112.5,4.0
