name,rating,numrev,goog_price,cuisine,pc
Fiola,4.3,56,3,Italian,43.2678571429
Rasika West End,4.4,128,3,Indian,45.3333333333
Corduroy,4.0,46,3,Contemporary,87.25
Rasika,4.2,302,2,Indian,31.9545454545
Fogo de Chão Brazilian Steakhouse,4.4,372,3,Brazilian,62.0
Minibar,4.5,32,4,Bar,112.5
The Lafayette,4.1,11,4,American,90.7159090909
Ristorante Tosca,4.2,60,3,Italian,43.2678571429
The Bombay Club,3.7,127,3,Indian,45.3333333333
Prime Rib,4.1,47,3,Steakhouse,77.8125
Red Hen,4.6,70,2,Italian,37.325
Zaytinya,4.3,509,2,Mediterranean,39.5
Marcel's,4.3,71,4,Belgian,93.5382165605
Florida Avenue Grill,4.1,90,2,Soul Food,18.5
Rappahannock Oyster Bar,4.5,24,2,Bar,37.5416666667
Plume,4.4,29,4,Contemporary,112.5
Menomale,4.6,63,1,Pizza,18.5
Mintwood Place,4.3,61,2,American,36.9328358209
Central Michel Richard,4.1,142,3,French,48.9166666667
SEI,4.4,78,3,Japanese,63.25
Donburi,4.6,87,1,Japanese,24.1923076923
The Oval Room,3.7,41,3,American,49.1182795699
BlackSalt,4.3,88,3,Seafood,56.3076923077
Duke's Grocery,4.4,118,1,British,28.0757575758
Izakaya Seki,4.5,50,2,Japanese,36.4166666667
SUNdeVICH,4.5,97,1,Sandwich Shop,18.5
Oceanaire Seafood Room (DC),3.8,78,3,Seafood,56.3076923077
Casa Luca,4.1,49,2,Italian,37.325
Acqua Al 2,4.1,71,3,Italian,43.2678571429
"Daikaya - Ramen (1F), Izakaya (2F)",4.4,354,2,Japanese,36.4166666667
Al Tiramisu,3.9,36,3,Italian,43.2678571429
Little Serow,4.5,58,3,Thai,37.0
Komi,4.5,120,4,Greek,37.0
Sushi Taro Japanese Restaurant,3.8,141,3,Japanese,63.25
Fiola Mare,4.5,93,3,Seafood,56.3076923077
Blue Duck Tavern,4.4,169,3,American,49.1182795699
Beau Thai Mount Pleasant,4.3,56,1,Thai,24.6666666667
Bonchon,4.2,92,1,Chicken Wings,28.0757575758
Granville Moore's,4.3,113,2,Bar,37.5416666667
"Joe's Seafood, Prime Steak & Stone Crab",4.6,131,3,Seafood,56.3076923077
Palm Restaurant‎ - DC,3.9,68,3,Steakhouse,77.8125
Pearl Dive Oyster Palace,4.3,86,2,Brunch,37.0
Restaurant Nora,4.0,309,3,Organic,50.1075268817
Montmartre,4.0,61,3,French,48.9166666667
BLT Steak,4.3,75,3,Bar,45.3333333333
1789 Restaurant,4.4,77,3,American,49.1182795699
Vidalia,3.9,79,3,American,49.1182795699
G by Mike Isabella,4.4,25,2,Italian,37.325
Equinox,4.0,57,3,Contemporary,87.25
Osteria Morini,4.1,62,2,Italian,37.325
Beau Thai - Shaw,4.2,84,1,Thai,24.6666666667
Amsterdam Falafel Shop,4.5,245,1,Falafel,28.0757575758
Kotobuki,4.3,52,2,Japanese,36.4166666667
701 Restaurant,3.6,38,3,American,49.1182795699
El Chucho - Cocina Superior,4.3,97,1,Mexican,24.6666666667
Bibiana,3.5,42,3,Italian,43.2678571429
Obelisk,4.5,28,4,Italian,93.2058823529
Filomena Ristorante,4.1,376,2,Italian,37.325
The Capital Grille,4.4,157,3,Contemporary,87.25
Cava Mezze,4.2,100,2,Greek,34.3571428571
Bistro Bis,4.3,61,3,French,48.9166666667
Ris,3.8,38,3,American,49.1182795699
2 Amys,4.2,263,2,Pizza,33.7352941176
7th Hill Pizza - Palisades,4.3,20,2,Pizza,33.7352941176
Co Co. Sala,4.1,139,2,International,37.0
Le Diplomate,4.5,244,2,French,42.9761904762
Toki Underground,4.4,208,2,Asian,37.0
Table,4.6,39,3,European,37.0
"Bayou Bakery, Coffee Bar & Eatery",4.1,38,2,Bakery,35.2282157676
Brasserie Beck,4.1,192,3,Belgian,37.0
Bistrot Lepic & Wine Bar,4.4,34,3,French,48.9166666667
BOURBON STEAK,4.2,68,3,Steakhouse,77.8125
Estadio,4.2,100,2,Spanish,37.0
Sakedokoro Makoto,4.7,35,3,Japanese,63.25
Legal Sea Foods,4.3,121,2,Seafood,39.7777777778
Proof,4.1,89,3,American,49.1182795699
Mellow Mushroom,4.2,87,2,Pizza,33.7352941176
Thunder Burger & Bar,4.2,119,2,American,36.9328358209
Cafe Bonaparte,4.1,68,2,American,36.9328358209
Indique,4.3,90,2,Indian,31.9545454545
Kapnos,4.3,75,2,Greek,34.3571428571
Compass Rose,4.4,53,2,Mediterranean,39.5
Rural Society,3.9,51,2,Argentinian,35.2282157676
The Partisan,4.4,71,2,American,36.9328358209
Campono,4.6,18,1,Sandwich Shop,18.5
Bistro Cacao,4.5,61,3,French,48.9166666667
Doi Moi,4.3,60,2,Southeast Asian,24.6666666667
Beuchert’s Saloon,4.4,30,3,American,49.1182795699
Belga Café,3.9,139,2,Belgian,35.2282157676
Siroc Restaurant,4.3,48,3,Italian,43.2678571429
Eat the Rich,4.2,29,1,Oyster Bar,28.0757575758
Leopold's Kafe & Konditorei,4.1,150,2,American,36.9328358209
Hank's Oyster Bar,4.2,173,2,Oyster Bar,35.2282157676
Le Grenier,4.5,38,2,French,42.9761904762
Taqueria Nacional,3.9,56,1,Mexican,24.6666666667
Wiseguy NY Pizza,4.4,127,1,Pizza,18.5
Lupo Verde,4.5,66,2,Italian,37.325
Lincoln,3.8,120,2,American,36.9328358209
Ghibellina,4.5,70,2,Italian,37.325
Dukem Ethiopian Restaurant,3.8,148,2,Ethiopian,37.0
Toro Toro,3.8,88,3,Pan-Latin,50.1075268817
Founding Farmers,4.3,1058,2,American,36.9328358209
Kaz Sushi Bistro,4.3,130,3,Japanese,63.25
Piola,4.1,37,1,Pizza Delivery,28.0757575758
Mitsitam Native Foods Café,3.6,66,2,American,36.9328358209
Oyamel Cocina Mexicana,3.9,416,2,Mexican,34.4722222222
Jaleo,3.9,384,2,Spanish,37.0
Sakuramen Ramen Bar,4.5,149,2,Japanese,36.4166666667
Iron Gate Restaurant,4.3,51,2,Mediterranean,39.5
Cork Wine Bar,4.1,60,2,American,36.9328358209
The Source,4.0,87,3,Asian,37.0
La Chaumiere,4.3,34,3,French,48.9166666667
Et Voila!,4.0,32,2,Belgian,35.2282157676
Del Campo,4.2,43,3,Latin American,50.1075268817
Boqueria Washington DC,4.0,97,2,Spanish,37.0
Flight Wine Bar,4.6,33,3,Italian,43.2678571429
Oohh's & Aahh's,3.7,172,2,Soul Food,18.5
Acadiana,4.2,171,3,Contemporary Louisiana,50.1075268817
